name,city,region,country,website,source_url,reviewed_at,status,reason
Whiskers Cat Lounge,Corvallis,OR,US,https://whiskerscatlounge.square.site/,https://whiskerscatlounge.square.site/,2026-07-06,promoted,verified from official Square source and promoted to cat-cafes.csv
Crooked Tail Cat Cafe Winston-Salem,Winston-Salem,NC,US,,https://www.theneighborscat.com/cat-cafe-directory/crookedtailwinstonsalem,2026-07-06,not_current,current official Crooked Tail site exposes only the Greensboro location already curated; old Winston-Salem directory entry not published
Waffles and Whiskers Cat Cafe,Kernersville,NC,US,,https://www.theneighborscat.com/cat-cafe-directory/wafflesandwhiskers,2026-07-06,not_current,external directory lists 2019 location but listed official domain wafflesandwhiskers.com no longer resolves; not published without current official evidence
Cat Tales Cat Cafe,Chapel Hill,NC,US,,https://www.theneighborscat.com/cat-cafe-directory/cattalescatcafe,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
Constellation Cat Cafe,East Lansing,MI,US,,https://www.theneighborscat.com/cat-cafe-directory/constellationcatcafe,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
Catsbury Park,Asbury Park,NJ,US,,https://www.theneighborscat.com/cat-cafe-directory/catsburypark,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
Morgan's Cat Cafe,Red Hook,NY,US,,https://www.theneighborscat.com/cat-cafe-directory/morganscatcafe,2026-07-06,unverified,external directory lists 2019 location but current searches only found social-login pages and no official/current public evidence; not published
Feline Cafe,Ottawa,ON,CA,,https://www.theneighborscat.com/cat-cafe-directory/felinecafe,2026-07-06,unverified,external directory lists 2019 location but current site is behind bot protection and searches did not expose official/current public evidence; not published
Mad Catter Cafe,St. John's,NL,CA,,https://www.theneighborscat.com/cat-cafe-directory/madcattercafe,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
Miss J La's Fur Babies Cat Cafe,Winnipeg,MB,CA,,https://www.theneighborscat.com/cat-cafe-directory/ms-j-las-fur-babies-cat-cafe,2026-07-06,unverified,external directory lists 2019 location but current searches only found social-login pages and no official/current public evidence; not published
The Purrfect Bean,Richmond,VA,US,,https://www.axios.com/local/richmond/2025/08/15/richmond-cat-cafe-opens-adorable-adoptable-kitten,2026-07-06,not_current,"Reviewed 2026-07-06; not published because current public evidence indicates closure, temporary closure, unrelated redirect, expired site, or not-yet-open status."
All the Single Kitties Cat Cafe,Old Saybrook,CT,US,https://allthesinglekitties.org/,https://www.ctinsider.com/food/article/usa-today-best-cat-cafes-mew-haven-20421125.php,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
Perk and Paws Cat Cafe,Torrington,CT,US,https://perkandpawscatcafe.com/,https://www.ctinsider.com/food/article/usa-today-best-cat-cafes-mew-haven-20421125.php,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
Marcies Angels Cat Cafe,Glastonbury,CT,US,https://www.marciesangelscatcafe.com/,https://www.ctinsider.com/food/article/usa-today-best-cat-cafes-mew-haven-20421125.php,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
The Purrfect Lounge,Plainville,CT,US,,https://www.ctinsider.com/living/article/purrfect-lounge-cat-plainville-ct-simon-foundation-20189314.php,2026-07-06,promoted,verified from local news source and promoted to cat-cafes.csv
Cattfeinated Cat Cafe,Greensburg,PA,US,https://www.greensburgcatcafe.com/,https://www.axios.com/local/pittsburgh/2025/03/25/cat-cafe-lounge-pittsburgh,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
Kitty Queen Cat Rescue,Pittsburgh,PA,US,https://kittyqueencatrescue.com/,https://www.axios.com/local/pittsburgh/2025/03/25/cat-cafe-lounge-pittsburgh,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
Cats N'At,Wexford,PA,US,https://www.catspgh.com/,https://www.axios.com/local/pittsburgh/2025/03/25/cat-cafe-lounge-pittsburgh,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
Whisker Wonderland Cat Lounge,Bellevue,PA,US,https://whiskerwonderlandcatlounge.com/,https://www.axios.com/local/pittsburgh/2025/03/25/cat-cafe-lounge-pittsburgh,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
Kitty Co. Cat Rescue and Lounge,Bridgeville,PA,US,,https://www.axios.com/local/pittsburgh/2026/03/03/kitty-co-cat-cafe-bridgeville-opens,2026-07-06,promoted,verified from March 2026 news source and promoted to cat-cafes.csv
Cozy Cats Cafe,Sanford,MI,US,https://www.cozycatscafe.com/,https://www.ourmidland.com/community/article/cozy-cats-cafe-sanford-add-food-needs-cattery-20302668.php,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
The Kitty Beautiful,Orlando,FL,US,https://thekittybeautiful.com/,https://www.theneighborscat.com/united-states,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
Orlando Cat Cafe,Clermont,FL,US,https://www.orlandocatcafe.com/,https://www.theneighborscat.com/united-states,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
Hawaii Cat Cafe,Honolulu,HI,US,https://www.hawaiicatcafe.org/,https://www.theneighborscat.com/united-states,2026-07-06,unverified,"Reviewed 2026-07-06; not published because current first-party/public evidence did not strongly confirm all required facts: active/open status, public visitor cat interaction, and a usable address."
Tiny Lions Lounge & Adoption Center,Ann Arbor,MI,US,https://www.tinylions.org/,https://www.theneighborscat.com/united-states,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
Kzoo Cat Cafe and Rescue,Kalamazoo,MI,US,https://www.kzoocatcafe.com/,https://www.theneighborscat.com/united-states,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
Felius Cat Cafe,Omaha,NE,US,https://felius.org/,https://www.theneighborscat.com/united-states,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
MeWow Cat Cafe,Doylestown,PA,US,https://mewow.cafe/,https://www.theneighborscat.com/united-states,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
Cat Nook Cafe,Norwood,PA,US,https://catnookcafe.com/,https://www.theneighborscat.com/united-states,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
Le Cat Cafe,Philadelphia,PA,US,https://www.lecatcafe.org/,https://www.theneighborscat.com/united-states,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
The Dancing Cat,San Jose,CA,US,https://www.thedancingcat.org/,https://www.theneighborscat.com/united-states,2026-07-06,not_current,"Reviewed 2026-07-06; not published because current public evidence indicates closure, temporary closure, unrelated redirect, expired site, or not-yet-open status."
Kawaii Kitty Cafe,Philadelphia,PA,US,,https://www.theneighborscat.com/united-states,2026-07-06,not_current,external directory lists old cafe but current official domain shows unrelated gambling content; not published without current official evidence
The Catio,Nashville,TN,US,,https://www.theneighborscat.com/united-states,2026-07-06,not_current,external directory lists old cafe but current official domain shows unrelated gambling content; not published without current official evidence
Catmosphere Laguna,Laguna Beach,CA,US,https://www.catmospherelaguna.com/,https://www.theneighborscat.com/united-states,2026-07-06,not_current,official site says cafe is currently closed; rescue/adoptions continue but not current public cat cafe visits
Knead CATffeine,Chino Hills,CA,US,,https://www.theneighborscat.com/united-states,2026-07-06,not_current,external directory lists old cafe but current official domain redirects to unrelated gambling content; not published without current official evidence
Fat Cat Cafe,Tallahassee,FL,US,https://www.fatcatcafetally.com/,https://www.theneighborscat.com/united-states,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
Bertha's Beans Cat Cafe,Columbia,MO,US,https://berthasbeans.com/,https://www.theneighborscat.com/united-states,2026-07-06,promoted,verified from current official source after old Papa's Cat Cafe domain redirected to current brand; promoted to cat-cafes.csv
Safe Haven Pet Sanctuary,Green Bay,WI,US,https://safehavenpet.org/,https://www.theneighborscat.com/united-states,2026-07-06,not_current,official site says sanctuary is temporarily closed; not published as current cat cafe visits
Karma Kat Cafe,Mount Pleasant,MI,US,https://www.karmakatcafe.com/,https://www.theneighborscat.com/united-states,2026-07-06,promoted,verified from current official source and promoted to cat-cafes.csv
Happy Cat Cafe,Grand Rapids,MI,US,https://www.happycatgr.com/,https://www.theneighborscat.com/united-states,2026-07-06,unverified,"Reviewed 2026-07-06; not published because current first-party/public evidence did not strongly confirm all required facts: active/open status, public visitor cat interaction, and a usable address."
Buckminster's Cat Cafe,Buffalo,NY,US,,https://www.theneighborscat.com/united-states,2026-07-06,unverified,external directory lists 2019 cafe but current official domain is private/inaccessible; not published without current official evidence
Purrfect Cafe and Gallery,Buffalo,NY,US,,https://www.theneighborscat.com/united-states,2026-07-06,not_current,external directory lists 2019 cafe but current official domain redirects to unrelated gambling content; not published without current official evidence
Purr Catfe,Fayetteville,AR,US,,https://www.theneighborscat.com/united-states,2026-07-06,unverified,external directory lists old cafe but current official domain does not resolve; not published without current official evidence
La Gattara Cat Lounge,Tempe,AZ,US,,https://www.theneighborscat.com/united-states,2026-07-06,unverified,external directory lists old cafe but current official domain does not resolve; not published without current official evidence
Caturday,Brea,CA,US,,https://www.theneighborscat.com/united-states,2026-07-06,unverified,external directory lists old cafe but current official domain does not resolve; not published without current official evidence
Crescent City Cat Club,New Orleans,LA,US,,https://www.theneighborscat.com/united-states,2026-07-06,unverified,external directory lists 2019 cafe but current official domain does not resolve; not published without current official evidence
Kittens in Cups,Annapolis,MD,US,,https://www.theneighborscat.com/united-states,2026-07-06,not_current,external directory lists 2019 cafe but current official domain shows unrelated shopping/gambling content; not published without current official evidence
Mewsic Kitty Cafe,Nashville,TN,US,,https://www.theneighborscat.com/united-states,2026-07-06,not_current,external directory lists 2019 cafe but current official domain is a placeholder page; not published without current official evidence
Tabby's Catfe,Menomonie,WI,US,,https://www.theneighborscat.com/united-states,2026-07-06,unverified,external directory lists 2018 cafe but no official website is listed and current web checks did not expose stable first-party evidence; not published
Purringtons Cat Lounge,Portland,OR,US,,https://www.theneighborscat.com/united-states,2026-07-06,not_current,external directory lists old Portland cafe but current official domain does not resolve and public references report closure; not published
Organic Cat Cafe,Greenville,SC,US,,https://www.theneighborscat.com/united-states,2026-07-06,unverified,external directory lists old cafe but current official domain does not resolve; not published without current official evidence
Happy Tabby Cat Cafe,Atlanta,GA,US,https://happytabbycatcafe.com/,https://www.theneighborscat.com/united-states,2026-07-06,not_current,"Reviewed 2026-07-06; not published because current public evidence indicates closure, temporary closure, unrelated redirect, expired site, or not-yet-open status."
Purrvana Cat Cafe,Savannah,GA,US,,https://www.theneighborscat.com/united-states,2026-07-06,unverified,external directory lists old cafe but current official domain does not resolve; not published without current official evidence
Windy Kitty Cat Cafe,Chicago,IL,US,,https://www.theneighborscat.com/united-states,2026-07-06,unverified,external directory lists old cafe but current official domain does not resolve; not published without current official evidence
