name,address,city,region,country,website,source_url,image_url,image_source_url,price_text,price_source_url,enriched_at,google_maps_url,apple_maps_url,maps_verified_at,maps_notes,lat,lon,status,verified_at,notes
Cat Town,2869 Broadway,Oakland,CA,US,https://www.cattownoakland.org/,https://www.cattownoakland.org/,/images/cafes/cat-town-oakland-ca.webp,http://static1.squarespace.com/static/554e744ce4b026a2b08ca248/t/5802c22ef5e23180412d1f2b/1476575791511/cattownhorizontal.png?format=1500w,$14 per visit,https://www.cattownoakland.org/visit,2026-07-07,https://www.google.com/maps/search/?api=1&query=Cat%20Town%2C%202869%20Broadway%2C%20Oakland%2C%20CA%2C%20United%20States,https://maps.apple.com/?q=Cat+Town&address=2869+Broadway%2C+Oakland%2C+CA%2C+United+States&ll=37.81981%2C-122.26166,2026-07-07,Maps search link from curated name/address.,37.81981,-122.26166,active,2026-07-06,Official site reachable.; official site confirms adoptable cats.
KitTea Cat Lounge,1266 Valencia St,San Francisco,CA,US,https://kitteasf.org/,https://kitteasf.org/,/images/cafes/kittea-cat-lounge-san-francisco-ca.webp,http://static1.squarespace.com/static/54d2df57e4b0526a666a8958/t/586dd98c6b8f5b5ff617bfb6/1483594130878/StoreFront_4Web+%281%29.jpg?format=1500w,$30 for 55 min,https://kitteasf.org/book-now,2026-07-07,https://www.google.com/maps/search/?api=1&query=KitTea%20Cat%20Lounge%2C%201266%20Valencia%20St%2C%20San%20Francisco%2C%20CA%2C%20United%20States,https://maps.apple.com/?q=KitTea+Cat+Lounge&address=1266+Valencia+St%2C+San+Francisco%2C+CA%2C+United+States&ll=37.75201%2C-122.42109,2026-07-07,Maps search link from curated name/address.,37.75201,-122.42109,active,2026-07-06,Official site reachable; updated canonical URL.; official site confirms adoptable cats.
CatCafe Lounge,114 Washington Blvd,Venice,CA,US,https://www.catcafelounge.com/,https://www.catcafelounge.com/,/images/cafes/catcafe-lounge-venice-ca.jpg,https://www.catcafelounge.com/uploads/8/0/8/6/80861148/catcafelounge-2020feb-70-byericadanger.jpg,$35 / hr,https://www.catcafelounge.com/,2026-07-07,https://www.google.com/maps/search/?api=1&query=CatCafe%20Lounge%2C%20114%20Washington%20Blvd%2C%20Venice%2C%20CA%2C%20United%20States,https://maps.apple.com/?q=CatCafe+Lounge&address=114+Washington+Blvd%2C+Venice%2C+CA%2C+United+States,2026-07-07,Maps search link from curated name/address.,,,active,2026-07-06,"Official site lists 114 Washington Blvd, Venice CA; official site confirms reserve visits with adoptable cats and kittens."
Crumbs & Whiskers Los Angeles,7924 Melrose Ave,Los Angeles,CA,US,https://crumbsandwhiskers.com/,https://crumbsandwhiskers.com/,/images/cafes/crumbs-whiskers-los-angeles-los-angeles-ca.webp,http://static1.squarespace.com/static/64640550e3344f63c515351c/t/6540259eba41385ea89ccf95/1698702750627/web+black.png?format=1500w,2x 70-min: $80; 2x 30-min: $50,https://crumbsandwhiskers.com/appointments-la,2026-07-07,https://www.google.com/maps/search/?api=1&query=Crumbs%20%26%20Whiskers%20Los%20Angeles%2C%207924%20Melrose%20Ave%2C%20Los%20Angeles%2C%20CA%2C%20United%20States,https://maps.apple.com/?q=Crumbs+%26+Whiskers+Los+Angeles&address=7924+Melrose+Ave%2C+Los+Angeles%2C+CA%2C+United+States&ll=34.08368%2C-118.36173,2026-07-07,Maps search link from curated name/address.,34.08368,-118.36173,active,2026-07-06,Official site reachable.; official site confirms adoptable cats.
Cat Therapy,1213 State St Suite L,Santa Barbara,CA,US,https://www.cattherapysb.com/,https://www.cattherapysb.com/,/images/cafes/cat-therapy-santa-barbara-ca.webp,http://www.cattherapysb.com/cdn/shop/files/DSC_0184_1_b07e00d1-d28c-478a-8898-e357bb35c718.jpg?v=1605206838,$25 / hr,https://www.cattherapysb.com/,2026-07-07,https://www.google.com/maps/search/?api=1&query=Cat%20Therapy%2C%201213%20State%20St%20Suite%20L%2C%20Santa%20Barbara%2C%20CA%2C%20United%20States,https://maps.apple.com/?q=Cat+Therapy&address=1213+State+St+Suite+L%2C+Santa+Barbara%2C+CA%2C+United+States&ll=34.42188%2C-119.70445,2026-07-07,Maps search link from curated name/address.,34.42188,-119.70445,active,2026-07-06,Official site reachable.; official site confirms adoption info.
NEKO Cat Cafe Seattle,519 E Pine St,Seattle,WA,US,https://www.nekocatcafe.com/,https://www.nekocatcafe.com/,/images/cafes/neko-cat-cafe-seattle-seattle-wa.jpg,https://www.nekocatcafe.com/asset/68753a1c86be2/FP-7.14.2025-Ringo2.jpg,$25/person for 45 min,https://www.nekocatcafe.com/reservations-seattle,2026-07-07,https://www.google.com/maps/search/?api=1&query=NEKO%20Cat%20Cafe%20Seattle%2C%20519%20E%20Pine%20St%2C%20Seattle%2C%20WA%2C%20United%20States,https://maps.apple.com/?q=NEKO+Cat+Cafe+Seattle&address=519+E+Pine+St%2C+Seattle%2C+WA%2C+United+States&ll=47.61520%2C-122.32537,2026-07-07,Maps search link from curated name/address.,47.61520,-122.32537,active,2026-07-06,Official site reachable; updated canonical URL.; official site confirms adoption info.
Seattle Meowtropolitan,1225 N 45th St,Seattle,WA,US,https://www.seameow.com/,https://www.seameow.com/,/images/cafes/seattle-meowtropolitan-seattle-wa.webp,http://static1.squarespace.com/static/5f31f0d80b1bfa623b33a993/t/60a9f9b22963a3669591a525/1621752244780/Untitled+design+%281%29.png?format=1500w,$20 / hr,https://www.seameow.com/,2026-07-07,https://www.google.com/maps/search/?api=1&query=Seattle%20Meowtropolitan%2C%201225%20N%2045th%20St%2C%20Seattle%2C%20WA%2C%20United%20States,https://maps.apple.com/?q=Seattle+Meowtropolitan&address=1225+N+45th+St%2C+Seattle%2C+WA%2C+United+States&ll=47.66143%2C-122.31544,2026-07-07,Maps search link from curated name/address.,47.66143,-122.31544,active,2026-07-06,Official site reachable; updated canonical URL.; official site confirms adoptable cats.
NEKO Cat Cafe Bellingham,1130 Cornwall Ave,Bellingham,WA,US,https://www.nekocatcafe.com/,https://www.nekocatcafe.com/,/images/cafes/neko-cat-cafe-bellingham-bellingham-wa.jpg,https://www.nekocatcafe.com/asset/68753a1c86be2/FP-7.14.2025-Ringo2.jpg,$20/person for 45 min,https://www.nekocatcafe.com/reservations-bellingham,2026-07-07,https://www.google.com/maps/search/?api=1&query=NEKO%20Cat%20Cafe%20Bellingham%2C%201130%20Cornwall%20Ave%2C%20Bellingham%2C%20WA%2C%20United%20States,https://maps.apple.com/?q=NEKO+Cat+Cafe+Bellingham&address=1130+Cornwall+Ave%2C+Bellingham%2C+WA%2C+United+States&ll=48.74742%2C-122.48047,2026-07-07,Maps search link from curated name/address.,48.74742,-122.48047,active,2026-07-06,Official site reachable; updated canonical URL.; official site confirms adoption info.
The Cafe Meow Roseville,1718A Lexington Ave N,Roseville,MN,US,https://thecafemeow.com/,https://thecafemeow.com/,/images/cafes/placeholder.png,https://thecafemeow.com/,$10.50 weekdays; $15-$17.25 weekends,https://thecafemeow.com/about/faq/,2026-07-07,https://www.google.com/maps/search/?api=1&query=The%20Cafe%20Meow%20Roseville%2C%201718A%20Lexington%20Ave%20N%2C%20Roseville%2C%20MN%2C%20United%20States,https://maps.apple.com/?q=The+Cafe+Meow+Roseville&address=1718A+Lexington+Ave+N%2C+Roseville%2C+MN%2C+United+States,2026-07-07,Maps search link from curated name/address.,,,active,2026-07-06,"Official site lists Roseville location; official site confirms reservations, cat pages, and adoption info."
The Cafe Meow New Hope,3524 Winnetka Ave N,New Hope,MN,US,https://thecafemeow.com/,https://thecafemeow.com/,/images/cafes/placeholder.png,https://thecafemeow.com/,$10.50 weekdays; $15-$17.25 weekends,https://thecafemeow.com/about/faq/,2026-07-07,https://www.google.com/maps/search/?api=1&query=The%20Cafe%20Meow%20New%20Hope%2C%203524%20Winnetka%20Ave%20N%2C%20New%20Hope%2C%20MN%2C%20United%20States,https://maps.apple.com/?q=The+Cafe+Meow+New+Hope&address=3524+Winnetka+Ave+N%2C+New+Hope%2C+MN%2C+United+States&ll=45.01933%2C-93.38039,2026-07-07,Maps search link from curated name/address.,45.01933,-93.38039,active,2026-07-06,"Official site lists New Hope location; official site confirms reservations, cat pages, and adoption info."
